Country,LifeExp,InfantSurvival,Under5Survival,TBFree,PropMD,PropRN,PersExp,GovtExp,TotExp
Afghanistan,42,0.835,0.743,0.99769,0.000228841,0.000572294,20,92,112
Albania,71,0.985,0.983,0.99974,0.001143127,0.004614439,169,3128,3297
Algeria,71,0.967,0.962,0.99944,0.001060478,0.002091362,108,5184,5292
Andorra,82,0.997,0.996,0.99983,0.003297297,0.0035,2589,169725,172314
Angola,41,0.846,0.74,0.99656,7.04E-05,0.001146162,36,1620,1656
Antigua and Barbuda,73,0.99,0.989,0.99991,0.000142857,0.00277381,503,12543,13046
Argentina,75,0.986,0.983,0.99952,0.002780191,0.000741044,484,19170,19654
Armenia,69,0.979,0.976,0.9992,0.003698671,0.004918937,88,1856,1944
Australia,82,0.995,0.994,0.99993,0.002331953,0.009149391,3181,187616,190797
Austria,80,0.996,0.996,0.9999,0.003610904,0.006458749,3788,189354,193142
Azerbaijan,64,0.927,0.911,0.99913,0.003660005,0.008477873,62,780,842
Bahamas,74,0.987,0.986,0.9996,0.000954128,0.004045872,1224,55783,57007
Bahrain,75,0.991,0.99,0.99955,0.002679296,0.005967524,710,45784,46494
Bangladesh,63,0.948,0.931,0.99609,0.000274894,0.000253034,12,75,87
Barbados,75,0.989,0.988,0.99989,0.001098976,0.003372014,725,24433,25158
Belarus,69,0.994,0.992,0.99929,0.004758674,0.012457093,204,11315,11519
Belgium,79,0.996,0.995,0.99989,0.004230489,0.014079195,3451,239105,242556
Belize,69,0.986,0.984,0.99944,0.000890071,0.001074468,198,5376,5574
Benin,55,0.912,0.852,0.99865,3.55E-05,0.000660845,28,600,628
Bhutan,64,0.937,0.93,0.99904,8.01E-05,0.001124807,52,407,459
Bolivia,66,0.95,0.939,0.99734,0.001104233,0.001934039,71,2860,2931
Bosnia and Herzegovina,75,0.987,0.985,0.99943,0.001411105,0.004669384,243,6578,6821
Botswana,52,0.91,0.876,0.99546,0.000384822,0.002558127,431,19604,20035
Brazil,72,0.981,0.98,0.99945,0.00104664,0.00348141,371,13940,14311
Brunei Darussalam,77,0.992,0.991,0.99901,0.00104712,0.005549738,519,30562,31081
Bulgaria,73,0.99,0.988,0.99959,0.000253477,0.00455323,272,11550,11822
Burkina Faso,47,0.878,0.796,0.99524,4.93E-05,0.000456647,27,304,331
Burundi,49,0.891,0.819,0.99286,2.45E-05,0.000164933,3,10,13
Cambodia,62,0.935,0.918,0.99335,0.000144185,0.000783616,29,140,169
Cameroon,51,0.913,0.851,0.99763,0.000171884,0.001432847,49,784,833
Canada,81,0.995,0.994,0.99996,0.001912607,0.010044633,3430,192800,196230
Cape Verde,70,0.975,0.966,0.99676,0.000445087,0.000789981,114,5394,5508
Central African Republic,48,0.886,0.826,0.99472,7.76E-05,0.000378195,13,190,203
Chad,46,0.876,0.791,0.9943,3.30E-05,0.000238728,22,234,256
Chile,78,0.992,0.991,0.99984,0.001047677,0.000607349,397,17952,18349
China,73,0.98,0.976,0.99799,0.001402082,0.0009795,81,1302,1383
Colombia,74,0.983,0.979,0.99941,0.001289806,0.000525484,201,12410,12611
Comoros,65,0.949,0.932,0.99914,0.000140587,0.000718826,14,304,318
Congo,54,0.921,0.874,0.99434,0.000204934,0.000995392,31,915,946
Cook Islands,73,0.984,0.981,0.99976,0.001428571,0.005714286,466,27264,27730
Costa Rica,78,0.989,0.988,0.99983,0.001182996,0.000830416,327,15376,15703
Côte d'Ivoire,53,0.91,0.873,0.99253,0.000110024,0.000538226,34,315,349
Croatia,76,0.995,0.994,0.99936,0.002469271,0.005459175,651,30210,30861
Cuba,78,0.995,0.993,0.9999,0.005908139,0.00744475,310,21075,21385
Cyprus,80,0.997,0.996,0.99994,0.033228132,0.003972813,1350,39399,40749
Czech Republic,77,0.997,0.996,0.9999,0.003591618,0.008942978,868,56137,57005
Democratic Republic of the Congo,47,0.871,0.795,0.99355,9.61E-05,0.000474721,5,66,71
Denmark,79,0.997,0.996,0.99993,0.003551934,0.009958195,4350,314588,318938
Djibouti,56,0.914,0.87,0.987,0.00017094,0.000361416,61,4002,4063
Dominica,74,0.987,0.985,0.99984,0.000558824,0.004661765,288,13206,13494
Dominican Republic,70,0.975,0.971,0.99882,0.001629745,0.001596672,197,4148,4345
Ecuador,73,0.979,0.976,0.99805,0.001388805,0.001559309,147,3717,3864
Egypt,68,0.971,0.965,0.99969,0.00242564,0.003367945,78,1290,1368
El Salvador,71,0.978,0.975,0.99936,0.001173913,0.000754658,177,5700,5877
Equatorial Guinea,46,0.876,0.794,0.99596,0.000308468,0.000546371,211,6474,6685
Eritrea,63,0.952,0.926,0.99782,4.58E-05,0.000533887,8,80,88
Estonia,73,0.995,0.994,0.9996,0.00329403,0.006900746,516,27393,27909
Ethiopia,56,0.923,0.877,0.99359,2.39E-05,0.000191851,6,64,70
Fiji,69,0.984,0.982,0.9997,0.000456182,0.001992797,148,5355,5503
Finland,79,0.997,0.997,0.99996,0.003299183,0.008920357,2824,133956,136780
France,81,0.996,0.995,0.99989,0.0033797,0.007924442,3819,234850,238669
Gabon,58,0.94,0.909,0.99572,0.000301297,0.005170099,276,17220,17496
Gambia,59,0.916,0.886,0.99577,9.38E-05,0.001131088,15,550,565
Georgia,70,0.972,0.968,0.99916,0.004646289,0.004031356,123,1248,1371
Germany,80,0.996,0.995,0.99995,0.003441718,0.008010552,3628,209250,212878
Ghana,57,0.924,0.88,0.99621,0.000140821,0.000856528,30,490,520
Greece,80,0.996,0.996,0.99984,0.004994696,0.003596152,2580,65195,67775
Grenada,68,0.983,0.98,0.99992,0.000754717,0.003075472,342,6944,7286
Guatemala,68,0.969,0.959,0.99897,0.000764832,0.003452759,132,2400,2532
Guinea,53,0.902,0.839,0.99534,0.000107505,0.000480122,21,66,87
Guinea-Bissau,48,0.881,0.8,0.99687,0.000114216,0.000651276,10,90,100
Guyana,64,0.954,0.938,0.99785,0.000495264,0.002351827,60,1400,1460
Haiti,61,0.94,0.92,0.99598,0.000206331,8.83E-05,28,546,574
Honduras,70,0.977,0.973,0.99905,0.000527479,0.001223705,91,2162,2253
Hungary,73,0.994,0.993,0.99979,0.003039869,0.009163949,855,40602,41457
Iceland,81,0.998,0.997,0.99997,0.003758389,0.009932886,5154,395622,400776
India,63,0.943,0.924,0.99701,0.000560733,0.001191281,36,203,239
Indonesia,68,0.974,0.966,0.99747,0.000128893,0.000786314,26,588,614
Iran (Islamic Republic of),71,0.97,0.965,0.99972,0.000880461,0.001581144,212,7973,8185
Iraq,56,0.963,0.953,0.99922,0.000666877,0.001333088,59,2948,3007
Ireland,80,0.996,0.996,0.99989,0.002936271,0.019403222,3993,193553,197546
Israel,81,0.996,0.995,0.99994,0.003691336,0.006256828,1533,93748,95281
Italy,81,0.997,0.996,0.99994,0.003657769,0.007137294,2692,140148,142840
Jamaica,72,0.974,0.968,0.99992,0.000834754,0.0016206,170,4399,4569
Japan,83,0.997,0.996,0.99971,0.002113049,0.009461544,2936,159192,162128
Jordan,71,0.979,0.975,0.99994,0.00234945,0.003218537,241,9047,9288
Kazakhstan,64,0.974,0.971,0.99858,0.003755648,0.007385268,148,5510,5658
Kenya,53,0.921,0.879,0.99666,0.000123273,0.00101532,24,231,255
Kiribati,65,0.953,0.936,0.99598,0.000212766,0.002765957,118,4578,4696
Kuwait,78,0.991,0.989,0.99975,0.001741634,0.003576826,687,51940,52627
Kyrgyzstan,66,0.964,0.959,0.99863,0.002416809,0.00586119,28,396,424
Lao People's Democratic Republic,60,0.941,0.925,0.99708,0.000347283,0.000972391,18,84,102
Latvia,71,0.992,0.991,0.9994,0.003145478,0.005609436,443,18224,18667
Lebanon,70,0.973,0.969,0.99988,0.002081381,0.001163995,460,17400,17860
Lesotho,42,0.898,0.868,0.99487,4.46E-05,0.000562907,41,437,478
Liberia,44,0.843,0.765,0.99422,2.88E-05,0.000289187,10,413,423
Libyan Arab Jamahiriya,72,0.983,0.982,0.99982,0.001170724,0.004497433,223,13175,13398
Lithuania,71,0.993,0.991,0.99939,0.003964202,0.007670188,448,19932,20380
Luxembourg,80,0.997,0.996,0.9999,0.002722343,0.009583514,6330,476420,482750
Madagascar,59,0.928,0.885,0.99585,0.000271465,0.000295475,9,162,171
Malawi,50,0.924,0.88,0.99678,1.96E-05,0.000535259,19,252,271
Malaysia,72,0.99,0.988,0.99875,0.000651758,0.001661178,222,6732,6954
Maldives,72,0.974,0.97,0.99946,0.001006667,0.002953333,316,8100,8416
Mali,46,0.881,0.783,0.99422,8.80E-05,0.000696691,28,434,462
Malta,79,0.995,0.994,0.99995,0.003861728,0.005953086,1235,91776,93011
Marshall Islands,63,0.95,0.944,0.99759,0.000413793,0.00262069,294,18876,19170
Mauritania,58,0.922,0.875,0.99394,0.000102825,0.000621879,17,451,468
Mauritius,73,0.988,0.985,0.9996,0.001040735,0.003677316,218,4704,4922
Mexico,74,0.971,0.965,0.99975,0.001859629,0.00084181,474,16340,16814
Micronesia (Federated States of),69,0.967,0.959,0.99891,0.000540541,0.002252252,290,5830,6120
Monaco,82,0.997,0.996,0.99998,0.005636364,0.014060606,6128,458700,464828
Mongolia,66,0.965,0.958,0.99809,0.002584261,0.0033881,35,1539,1574
Montenegro,74,0.991,0.99,0.99951,0.002051581,0.005717138,299,13725,14024
Morocco,72,0.966,0.963,0.99921,0.000518296,0.000788513,89,1947,2036
Mozambique,50,0.904,0.862,0.99376,2.45E-05,0.000294836,14,315,329
Namibia,61,0.955,0.939,0.99342,0.000292135,0.003001954,165,3888,4053
Nauru,61,0.975,0.97,0.99866,0.001,0.0063,567,30200,30767
Nepal,62,0.954,0.941,0.99756,0.000194783,0.000427807,16,64,80
Netherlands,80,0.996,0.995,0.99994,0.003694914,0.014602357,3560,187191,190751
New Zealand,80,0.995,0.994,0.99991,0.001978261,0.008342512,2403,159960,162363
Nicaragua,71,0.971,0.964,0.99926,0.000369667,0.001059653,75,2183,2258
Niger,42,0.852,0.747,0.99686,2.15E-05,0.000205139,9,85,94
Nigeria,48,0.901,0.809,0.99385,0.000241314,0.001453192,27,392,419
Niue,70,0.966,0.958,0.99915,0.002,0.011,1082,35211,36293
Norway,80,0.997,0.996,0.99996,0.003753052,0.016133219,5910,380380,386290
Oman,74,0.99,0.989,0.99986,0.001684996,0.003737628,312,18886,19198
Pakistan,63,0.922,0.903,0.99737,0.000785061,0.000439274,15,105,120
Palau,69,0.99,0.989,0.99949,0.0015,0.00605,690,43890,44580
Panama,76,0.982,0.977,0.99957,0.001347628,0.002481144,351,17424,17775
Papua New Guinea,62,0.946,0.927,0.99487,4.43E-05,0.000458078,34,390,424
Paraguay,75,0.981,0.978,0.999,0.00105635,0.001705618,92,2006,2098
Peru,73,0.979,0.975,0.99813,0.001080104,0.000620102,125,4453,4578
Philippines,68,0.976,0.968,0.99568,0.001047598,0.005574863,37,882,919
Poland,75,0.994,0.993,0.99973,0.001993865,0.005233928,495,21266,21761
Portugal,79,0.997,0.996,0.99976,0.003416013,0.004629833,1800,75458,77258
Qatar,77,0.991,0.989,0.99927,0.002618758,0.005943971,2186,163680,165866
Republic of Korea,79,0.995,0.995,0.99877,0.001561811,0.001915942,973,41715,42688
Republic of Moldova,68,0.984,0.981,0.99846,0.002909731,0.006790764,58,1504,1562
Romania,73,0.986,0.984,0.9986,0.001925274,0.004212242,250,9504,9754
Russian Federation,66,0.99,0.987,0.99875,0.004288359,0.008478449,277,12483,12760
Rwanda,52,0.903,0.84,0.99438,4.56E-05,0.000385355,19,220,239
Saint Kitts and Nevis,71,0.983,0.981,0.99983,0.00092,0.00396,478,9933,10411
Saint Lucia,75,0.988,0.986,0.99978,0.004595092,0.002030675,323,5068,5391
Saint Vincent and the Grenadines,70,0.983,0.98,0.99953,0.000741667,0.003725,218,6302,6520
Samoa,68,0.977,0.972,0.99975,0.00027027,0.001675676,113,2093,2206
San Marino,82,0.997,0.997,0.99995,0.035129032,0.07083871,3490,278163,281653
Sao Tome and Principe,61,0.937,0.904,0.99748,0.000522581,0.001987097,49,2419,2468
Saudi Arabia,70,0.979,0.974,0.99938,0.001417208,0.003065729,448,27621,28069
Senegal,59,0.94,0.884,0.99496,4.92E-05,0.000272283,38,504,542
Serbia,73,0.993,0.992,0.99959,0.001987717,0.00428728,212,7956,8168
Seychelles,72,0.988,0.987,0.99944,0.001406977,0.007372093,557,20502,21059
Sierra Leone,40,0.841,0.731,0.99023,2.93E-05,0.000437054,8,164,172
Singapore,80,0.997,0.997,0.99975,0.001455956,0.004356458,944,30100,31044
Slovakia,74,0.993,0.992,0.99982,0.003130661,0.006636414,626,26096,26722
Slovenia,78,0.997,0.996,0.99985,0.00236032,0.007851574,1495,55233,56728
Solomon Islands,67,0.945,0.928,0.99806,0.000123967,0.001349174,28,442,470
South Africa,51,0.944,0.931,0.99002,0.000721366,0.003820451,437,10920,11357
Spain,81,0.996,0.996,0.99976,0.003082917,0.007494042,2152,118426,120578
Sri Lanka,72,0.989,0.987,0.9992,0.000545582,0.001730255,51,360,411
Sudan,60,0.938,0.911,0.99581,0.000293924,0.000884557,29,462,491
Suriname,68,0.971,0.961,0.99905,0.00041978,0.001512088,209,7326,7535
Swaziland,42,0.888,0.836,0.98916,0.000150794,0.006021164,146,2256,2402
Sweden,81,0.997,0.996,0.99995,0.003215466,0.010685724,3727,255696,259423
Switzerland,82,0.996,0.995,0.99995,0.003864789,0.010617438,5694,258248,263942
Syrian Arab Republic,72,0.988,0.987,0.9996,0.000532873,0.001406018,61,1581,1642
Tajikistan,64,0.944,0.932,0.99702,0.001998042,0.004994729,18,100,118
Thailand,72,0.993,0.992,0.99803,0.000353619,0.002718571,98,2079,2177
The former Yugoslav Republic of Macedonia,73,0.985,0.983,0.99967,0.002547642,0.004338409,224,11060,11284
Timor-Leste,66,0.953,0.945,0.99211,7.09E-05,0.001611311,45,1053,1098
Togo,57,0.931,0.893,0.99213,3.51E-05,0.000302184,18,205,223
Tonga,71,0.98,0.976,0.99966,0.0003,0.0035,104,1896,2000
Trinidad and Tobago,69,0.967,0.962,0.9999,0.000756024,0.002750753,513,3575,4088
Tunisia,72,0.981,0.977,0.99972,0.001304944,0.002793637,158,4620,4778
Turkey,73,0.976,0.974,0.99968,0.001569411,0.002944793,383,18632,19015
Turkmenistan,63,0.955,0.949,0.99922,0.002492345,0.004700143,156,4888,5044
Tuvalu,65,0.969,0.962,0.99496,0.001,0.005,212,8786,8998
Uganda,50,0.922,0.866,0.99439,7.39E-05,0.000634436,22,78,100
Ukraine,67,0.98,0.976,0.99886,0.00308714,0.008343407,128,4624,4752
United Arab Emirates,78,0.992,0.992,0.99976,0.001167608,0.002434087,833,45969,46802
United Kingdom,79,0.995,0.994,0.99988,0.002208504,0.01224106,3064,240120,243184
United Republic of Tanzania,50,0.926,0.882,0.99541,2.08E-05,0.000336856,17,225,242
United States of America,78,0.993,0.992,0.99997,0.002413151,0.008815197,6350,231822,238172
Uruguay,75,0.987,0.985,0.99969,0.003717802,0.000864605,404,15824,16228
Uzbekistan,68,0.962,0.956,0.99855,0.002615322,0.010754309,26,444,470
Vanuatu,69,0.97,0.964,0.99935,0.000135747,0.001628959,67,1056,1123
Venezuela (Bolivarian Republic of),74,0.982,0.979,0.99948,0.00176529,0.001029752,247,10528,10775
Viet Nam,72,0.985,0.983,0.99775,0.000521541,0.000717003,37,270,307
Yemen,61,0.925,0.9,0.99868,0.000310096,0.000632523,39,448,487
Zambia,43,0.898,0.818,0.99432,0.000108071,0.00188184,36,595,631
Zimbabwe,43,0.945,0.915,0.99403,0.000157696,0.000707363,21,324,345
